"Exp","Trial","Round","Producer","Interpreter","Condition","Item.Nr","Item","Sentence_1_1","Sentence_1_2","Sentence_2_1","Sentence_2_2","Sentence_3_1","Sentence_3_2","Sentence_4_1","Sentence_4_2","Sentence_5_1","Sentence_5_2","Reward_1","Reward_2","Reward_3","Reward_4","Time_Producer","Time_Interpreter"
0,2,1,0,2,"dx01",3,"D_5_2_3","Some","the A, the B, and the C","Some","the B","","","","","","","","","","","",""
0,1,1,2,3,"d0xx",3,"d-AB-1","All","the A, the B, and the C","","","","","","","","","","","","","",""
0,4,1,3,2,"dx10",3,"d-A-AB-AC-2","Some","the A and the B","Some","the B","","","","","","","","","","","",""
0,4,1,2,1,"d110",3,"d-A-B-AB-BC-2","Some","the B","Some","the A","Some","the A and the B","","","","","","","","","",""
0,4,1,4,3,"d110",3,"d-A-B-AB-BC-3","Some","the A and the B","Some","the A","None","the C","Some","the B but not the A","","","","","","","",""
0,2,1,2,4,"d011",2,"d-AB-ABC-1","Some","the A, the B, and the C","Some","the A and the B","","","","","","","","","","","",""
0,4,1,0,4,"d100",2,"D_5_4_2","Some","the B","Some","the A","","","","","","","","","","","",""
0,2,1,4,1,"dx10",3,"d-A-AB-AC-1","Some","the A but not the B","Some","the A and the B","None","the C","","","","","","","","","",""
0,5,1,0,1,"NA","x","NA_x","None","the A but not the B","","","","","","","","","","","","","",""
0,1,1,0,1,"d101",1,"D_5_1_1","Some","the A","Some","the B","Some","the A, the B, and the C","","","","","","","","","",""
0,3,1,1,4,"d0xx",3,"d-AB-1","All","the C","All","the A and the B","","","","","","","","","","","",""
0,5,1,0,4,"NA","x","NA_x","Some did not","the A and the B","Some","the A, the B, and the C","","","","","","","","","","","",""
0,3,1,3,1,"dx00",3,"d-A-AC-1","All","the A","","","","","","","","","","","","","",""
0,5,1,0,2,"NA","x","NA_x","All","the A or the B","","","","","","","","","","","","","",""
0,1,1,1,2,"dx11",3,"d-A-AB-AC-ABC-1","Some","the A, the B, and the C","Some","the B","Some","the A and the B","","","","","","","","","",""
0,3,1,4,2,"dx00",1,"d-A-1","All","the B but not the A","","","","","","","","","","","","","",""
0,5,1,0,3,"NA","x","NA_x","All","the A or the B","Some","the A, the B, and the C","","","","","","","","","","","",""
0,3,1,0,3,"d111",4,"D_5_3_4","Some","the B but not the A","Some","the A but not the B","Some","the A and the B but not the C","Some","the A, the B, and the C","","","","","","","",""
0,2,1,1,3,"d011",1,"d-AB-ABC-1","Some","the A and the B","None","the B but not the A","Some","the A, the B, and the C","None","the A but not the B","","","","","","","",""
0,1,1,3,4,"dx11",1,"d-A-AB-ABC-1","Some","the B","Some","the A, the B, and the C","Some","the A and the B","","","","","","","","","",""
0,8,2,0,3,"dx10",2,"D_5_3_2","Some","the A","Some","the A and the B","","","","","","","","","","","",""
0,7,2,1,3,"d111",2,"d-B-AB-AC-ABC-3","Some","the A, the B, and the C","Some","the B","Some","the A","Some","the A and the B but not the C","","","","","","","",""
0,9,2,3,2,"d0xx",3,"d-AB-2","All","the A, the B, and the C","","","","","","","","","","","","","",""
0,8,2,3,1,"d011",1,"d-AB-ABC-1","Some","the A and the B","Some","the A, the B, and the C","","","","","","","","","","","",""
0,6,2,1,2,"dx01",3,"d-A-AC-ABC-2","None","the A and the B but not the C","Some","the A, the B, and the C","Some","the A","","","","","","","","","",""
0,9,2,0,4,"d101",4,"D_5_4_4","Some","the A, the B, and the C","Some","the A","Some","the B","","","","","","","","","",""
0,7,2,0,2,"dx00",1,"D_5_2_1","All","the A","","","","","","","","","","","","","",""
0,7,2,2,4,"d111",3,"d-A-AB-BC-ABC-1","Some","the A","Some","the A, the B, and the C","Some","the B","Some","the A and the B","","","","","","","",""
0,6,2,0,1,"d110",4,"D_5_1_4","Some","the A and the B","Some","the A","Some","the B","","","","","","","","","",""
0,9,2,2,1,"dx11",2,"d-B-AB-ABC-1","Some","the A","Some","the A and the B","Some","the A, the B, and the C","","","","","","","","","",""
0,10,2,0,1,"NA","x","NA_x","All","the A or the B","","","","","","","","","","","","","",""
0,6,2,2,3,"d100",1,"d-A-B-1","Some","the A","Some","the B","","","","","","","","","","","",""
0,8,2,4,2,"d011",1,"d-AB-ABC-3","All","the A and the B","Some, but not all","the C","","","","","","","","","","","",""
0,10,2,0,2,"NA","x","NA_x","Some did not","the A and the B","None","the C","","","","","","","","","","","",""
0,10,2,0,4,"NA","x","NA_x","All","the A or the B","","","","","","","","","","","","","",""
0,8,2,1,4,"d100",2,"d-A-B-AC-2","None","the C","None","the A and the B","All","the A or the B","","","","","","","","","",""
0,9,2,4,3,"dx11",2,"d-B-AB-ABC-2","Some","the A, the B, and the C","Some","the A and the B","All","the B","","","","","","","","","",""
0,10,2,0,3,"NA","x","NA_x","None","the A","","","","","","","","","","","","","",""
0,6,2,3,4,"dx01",3,"d-A-AC-ABC-2","Some","the A","Some","the A, the B, and the C","","","","","","","","","","","",""
0,7,2,4,1,"d0xx",2,"d-ABC-2","All","the B","All","the C","All","the A","","","","","","","","","",""
0,11,3,3,4,"dx00",1,"d-A-1","All","the A","","","","","","","","","","","","","",""
0,11,3,0,1,"dx11",2,"D_5_1_2","All","the B","Some","the A, the B, and the C","Some","the A and the B","","","","","","","","","",""
0,12,3,4,1,"d100",1,"d-A-B-1","All","the A or the B","None","the A and the B","","","","","","","","","","","",""
0,12,3,1,3,"dx10",1,"d-A-AB-3","Some","the A and the B","None","the C","Some","the B but not the A","","","","","","","","","",""
0,13,3,3,1,"d111",1,"d-A-B-AB-ABC-2","Some","the A and the B","Some","the A","Some","the B","Some","the A, the B, and the C","","","","","","","",""
0,12,3,2,4,"dx10",1,"d-A-AB-2","Some","the A","Some","the A and the B","","","","","","","","","","","",""
0,13,3,0,3,"d0xx",3,"D_5_3_3","All","the A and the B","","","","","","","","","","","","","",""
0,14,3,2,1,"dx01",1,"d-A-ABC-2","Some","the A, the B, and the C","Some","the B","","","","","","","","","","","",""
0,14,3,4,3,"dx01",1,"d-A-ABC-2","None","the A but not the C","All","the B","Some","the A","","","","","","","","","",""
0,15,3,0,4,"NA","x","NA_x","None","the B but not the A","","","","","","","","","","","","","",""
0,14,3,3,2,"d100",1,"d-A-B-3","Some","the B","Some","the A","","","","","","","","","","","",""
0,11,3,2,3,"d101",3,"d-A-B-BC-ABC-1","Some","the A","Some","the A, the B, and the C","Some","the B","","","","","","","","","",""
0,15,3,0,3,"NA","x","NA_x","All","the A or the B","Some","the A and the B","","","","","","","","","","","",""
0,12,3,0,2,"d011",3,"D_5_2_3","Some","the A, the B, and the C","Some","the A and the B","","","","","","","","","","","",""
0,15,3,0,1,"NA","x","NA_x","All","the B","Some","the C","Some","the A","","","","","","","","","",""
0,15,3,0,2,"NA","x","NA_x","None","the A and the B","","","","","","","","","","","","","",""
0,11,3,1,2,"dx00",1,"d-A-1","All","the A but not the B","","","","","","","","","","","","","",""
0,13,3,4,2,"d111",3,"d-A-AB-BC-ABC-1","Some","the A, the B, and the C","Some","the A and the B but not the C","All","the A or the B","","","","","","","","","",""
0,13,3,1,4,"d101",1,"d-A-B-ABC-3","Some","the A","None","the A and the B but not the C","Some","the B","Some","the A, the B, and the C","","","","","","","",""
